,Иш берувчилар саволлари,,,Фуқаролар саволлари,
,Саволлар,Категория,,Саволлар,Категория
,,,,,
,,,,,
,Ходимни меҳнат шартномасини қандай расмийлаштириш керак.,Ходимларни киритиш/расмийлаштириш масалалари,,"Электрон меҳнат дафтарчамдан кўчирма олишим керак, қандай олинади?",Меҳнат дафтарчасидан кўчирма олиш
,Чет эл фуқаролари хам тизимда расмийлаштирилиши керакми?,,,,
,"Ишчилар фуқаролик-ҳуқуқий шартномаси (ГПХ) бўйича ишлайди, улар ҳам тизимга киритилиши керакми?",,,Объективкамни қандай шакллантирсам бўлади?,"Объективка масаласи (шахсий маълумотлар, партиявийлик, бошқалар)"
,Ходимни расмийлаштиришда 107-код “Кўрсатилган шахс тўғрисидаги маълумотлар жисмоний шахсларнинг давлат маълумотлар базасида топилмади”,,,,
,"Бизда докторантлар/ординатура бўйича ўқийди, уларни ҳам тизимга киритиш керакми?",,,,
,"Ташқи ўриндошлар киритиладими, қандай киритилади?",,,,
,ЯТТ ни ишчилари/ёлланма ишчилар тизимга киритиладими?,,,,
,"Ходим янги паспорт олган, уни тизимга қандай янгиласа бўлади?",,,,
,"Чет эллик ходим янги паспорт олган экан, уни тизимда қандай янгилаш керак?",,,,
,,,,,
,Иш ўрни яратишда классификатор бўйича лавозим номи топилмади.,"Бўлим, иш ўринларига боғлик масалалар",,,
,Ташкилотнинг янги штат жадвали бўйича иш ўрнилар сони ўзгарди. Бу ўзгаришни тизимда қандай кўрсатиш мумкин?,,,,
,"Штат жадвали бўйича бўлим ярата олмаяпмиз, қандай амалга ошириш мумкин?",,,,
,"Бўлим ичида бўлимча ярата олмаяпмиз, қандай яратилади?",,,,
,"Бўлим номи нотўғри киритилган, уни қандай таҳрирлаш мумкин?",,,,
,"Янги штат жадвалига асосан бўлимлар номи ўзгарди, тизимда қандай ўзгартириш мумкин?",,,,
,"Иш ўрнини захирага олишимиз керак, лекин захираламокчи бўлсак, ""сизнинг ташкилотингиз хоким қарорига киритилмаган"" деган мазмундаги хабар чиқаяпти, бизни ташкилот хоким қарорига киритилган, нима қилиш керак?",,,,
,"Бош саҳифадаги вакансиялар бизда йўқ, уларни қандай ўчириш керак?",,,,
,"Бўш иш ўрнини ўчириб бўлмаяпти, саватча чиқмаяпти, танловга чиққан (Ожидание результатов открытого конкурса), нима қилиш мумкин?",,,,
,Иш ўрнини яратишда иш ҳақини кўрсатиш шартми?,,,,
,,,,,
,"Биз қурилиш ташкилотимиз, ходимлар барчаси киритилган лекин Шаффоф қурилиш тизими бўйича киритилган мутахассисларимизга бал берилмаган, кўриб берила",Шаффоф қурилиш тизимига оид масалалар,,,
,Раҳбарнинг дипломи Шаффоф қурилиши тизимида кўринмаяпти/бал берилмаган,,,,
,,,,,
,"Ходим бошқа бўлимга/лавозимга ўтказилди, буни қандай тизимда шакллантираман?","Бошқа лавозимга олиш, таътиллар",,,
